Date,Open,High,Low,Close,Adj Close,Volume
2020-07-16,36401.199219,36524.621094,36038.410156,36471.679688,36471.679688,18500
2020-07-17,36547.750000,37125.980469,36512.921875,37020.140625,37020.140625,16500
2020-07-20,37409.031250,37478.871094,37185.781250,37418.988281,37418.988281,20100
2020-07-21,37823.609375,37990.550781,37742.050781,37930.328125,37930.328125,22700
2020-07-22,38178.070313,38199.269531,37601.621094,37871.519531,37871.519531,22300
2020-07-23,37814.921875,38225.031250,37738.589844,38140.468750,38140.468750,19600
2020-07-24,37949.589844,38235.730469,37748.410156,38128.898438,38128.898438,19900
2020-07-27,38275.339844,38275.339844,37769.441406,37934.730469,37934.730469,18600
2020-07-28,38052.179688,38554.718750,37998.128906,38492.949219,38492.949219,15500
2020-07-29,38427.148438,38617.031250,37884.410156,38071.128906,38071.128906,17600
2020-07-30,38262.828125,38413.808594,37678.421875,37736.070313,37736.070313,14800
2020-07-31,37847.878906,37897.781250,37431.679688,37606.890625,37606.890625,20200
2020-08-03,37595.730469,37596.019531,36911.230469,36939.601563,36939.601563,14300
2020-08-04,37092.859375,37745.601563,36987.730469,37687.910156,37687.910156,15100
2020-08-05,37892.359375,38139.960938,37550.601563,37663.328125,37663.328125,19800
2020-08-06,37946.800781,38221.398438,37755.101563,38025.449219,38025.449219,16600
2020-08-07,37951.070313,38109.679688,37787.378906,38040.570313,38040.570313,15300
2020-08-10,38168.421875,38430.691406,38073.289063,38182.078125,38182.078125,17200
2020-08-11,38371.339844,38556.269531,38313.058594,38407.011719,38407.011719,18700
2020-08-12,38321.128906,38414.371094,38125.808594,38369.628906,38369.628906,25300
2020-08-13,38456.640625,38516.851563,38215.050781,38310.488281,38310.488281,15400
2020-08-14,38432.941406,38540.570313,37654.921875,37877.339844,37877.339844,18600
2020-08-17,38062.070313,38119.378906,37734.140625,38050.781250,38050.781250,21500
2020-08-18,38084.699219,38571.230469,38062.011719,38528.320313,38528.320313,13600
2020-08-19,38727.890625,38788.511719,38550.648438,38614.789063,38614.789063,12800
2020-08-20,38283.898438,38402.449219,38155.781250,38220.390625,38220.390625,15800
2020-08-21,38471.929688,38579.828125,38411.371094,38434.718750,38434.718750,16800
2020-08-24,38566.960938,38894.941406,38545.761719,38799.078125,38799.078125,28100
2020-08-25,38948.460938,39008.890625,38679.671875,38843.878906,38843.878906,15700
2020-08-26,38930.179688,39111.550781,38765.089844,39073.921875,39073.921875,16400
2020-08-27,39293.531250,39326.980469,39046.941406,39113.468750,39113.468750,14500
2020-08-28,39264.480469,39579.578125,39235.031250,39467.308594,39467.308594,22500
2020-08-31,39888.148438,40010.171875,38395.890625,38628.289063,38628.289063,27900
2020-09-01,38754.000000,39226.820313,38542.109375,38900.800781,38900.800781,22000
2020-09-02,38892.640625,39141.839844,38736.218750,39086.031250,39086.031250,17100
2020-09-03,39165.800781,39236.359375,38943.429688,38990.941406,38990.941406,9200
2020-09-04,38325.000000,38729.660156,38249.769531,38357.179688,38357.179688,15400
2020-09-07,38284.781250,38519.921875,38060.738281,38417.230469,38417.230469,12500
2020-09-08,38498.070313,38746.480469,38275.449219,38365.351563,38365.351563,11900
2020-09-09,37988.558594,38252.671875,37935.261719,38193.921875,38193.921875,14000
2020-09-10,38516.878906,38878.250000,38367.070313,38840.320313,38840.320313,16500
2020-09-11,38865.171875,38978.519531,38711.800781,38854.550781,38854.550781,11400
2020-09-14,39073.511719,39230.160156,38573.171875,38756.628906,38756.628906,14700
2020-09-15,38904.671875,39102.250000,38753.679688,39044.351563,39044.351563,11600
2020-09-16,39161.011719,39359.511719,39037.960938,39302.851563,39302.851563,11700
2020-09-17,39120.640625,39234.808594,38926.339844,38979.851563,38979.851563,11400
